9031_GENEID,9606_GENEID
422253,4168
428537,4342
420006,4355
428231,4610
421948,4613
373952,c(4681, 100532736)
768823,4759
395326,4783
415981,5253
425328,5507
421360,5784
420765,5898
431587,6414
423630,653509
378786,6496
396087,6498
423055,6764
395686,7007
424562,7075
421329,7159
419382,7161
422573,7424
420438,7516
421222,7851
418284,8079
428443,8320
424215,9125
395188,9126
429367,9127
427872,9182
428697,9210
373912,9241
416362,9260
395623,9350
426796,9627
426282,10001
419303,10005
428105,10008
427285,10020
427478,10021
424556,10026
770217,10036
771158,10039
418059,10042
395189,10051
396501,10052
420149,8907
415784,10054
415386,321
769648,2315
428121,2615
395868,3195
374051,3198
c(395327, 100859078, 100858967),3207
415362,3419
420011,3430
418502,3460
101749221,3594
420199,3612
423973,3632
424745,3635
420442,3638
101749888,3667
769957,3671
416247,3702
415885,3735
395116,3744
423484,3831
395772,3855
428148,3911
396220,3916
408043,3918
396057,3925
395438,3937
396381,3975
426849,3998
374129,4005
426411,4016
429148,4026
431584,4064
374096,4091
395670,4205
423345,4329
395555,4361
373897,4593
395633,4617
396210,4774
396209,4781
396208,4782
373910,4807
395578,4808
429566,4817
424990,5010
422623,5978
378901,5999
395820,28514
421136,6386
395949,6608
431192,6654
374019,6658
422297,6845
396083,6857
418365,6884
426045,6907
417980,6942
422409,6999
395598,7014
378900,7024
420255,7071
418528,7113
415589,7158
417123,7185
422919,7844
374155,7903
420302,8000
421338,9015
415633,9289
417487,9569
419820,9580
424812,10056
769853,10066
770225,10073
374084,26284
395153,10076
423092,10078
427209,10087
768809,10090
429075,10092
416051,10093
416837,10094
416490,10095
420439,57180
396147,10097
422702,10098
429041,10109
424026,10123
420589,10124
423290,10125
421940,10130
417707,10135
425961,10143
418611,10149
421474,10153
417901,10154
417757,10157
424619,10158
427567,10164
427222,10171
423561,10175
416369,10184
418889,10186
431014,10188
418702,10190
426468,10193
428513,10194
424952,10195
426866,10201
418872,10206
395436,10208
427342,10210
424189,10213
428612,10215
418445,10223
100857433,10226
416534,10232
419570,10236
395185,10237
427389,1176
418887,10240
770907,10242
426536,10247
428712,10251
395583,10252
395584,10253
420022,10266
420786,10268
419572,10269
426167,10270
430546,5813
770427,10272
426918,10273
416693,10276
374206,10284
423889,10285
419884,10286
427717,10291
