GENEID_10181,GENEID_9606
101698655,10681
101718718,5873
101715290,27440
101714351,7353
101703711,4040
101720874,2984
101709391,6343
101711421,57661
101723104,8518
101702763,4925
101725935,5217
101719486,5774
101704610,6710
101701948,27071
101707578,2255
101702879,23446
101726526,54916
101703882,23293
101698248,10640
101708690,8218
101720536,27006
101718543,10272
101724932,9993
101720173,55658
101708474,4335
101705053,79364
101718399,23210
101710722,5423
101716443,55808
101722436,55062
101705567,22844
101719027,57704
101725305,3340
101704060,440
101712189,10947
101716098,10610
101711939,1103
101721124,26986
101708559,10420
101717947,29105
101717615,1459
101720006,11099
101704117,8891
101722229,815
101707739,6949
101701374,998
101718853,26031
101703141,2046
101704301,6559
101717786,56852
101725886,490
101709030,29850
101720865,8440
101707800,9448
101722510,11320
101701711,9948
101708022,23161
101707741,54860
101708473,6196
101711218,54556
101710727,22846
101715617,29995
101702132,114049
101724591,6400
101702860,9319
101705200,537
101725133,6929
101720665,28951
101700390,26528
101696358,53615
101699813,51052
101719751,6596
101706405,9130
101711209,60343
101720593,29894
101709912,140469
101701182,79901
101707889,28513
101701624,5134
101723219,55117
101716314,51109
101707235,5566
101708219,22859
101710197,6694
101711839,87
101714566,23503
101703020,27330
101724424,22905
101700327,55679
101712702,55515
101713917,10290
101699931,84708
101711406,224
100913079,7037
101705277,6720
101709576,7224
101710985,27125
101698794,7321
101724481,64398
101716321,9886
101713253,8243
101712281,3028
101707850,2011
101717355,3161
101722853,55743
101714026,29953
101724121,8974
101700630,2213
101704179,2213
101696341,4775
101701523,51095
101721883,51095
101707761,37
101700102,6793
101718253,23291
101718492,9744
101709135,1400
101719227,2121
101699036,51009
101719171,54847
101720925,54820
101708783,10335
101699008,79041
101705051,8907
101712173,5817
101701146,7515
101703927,949
101698313,54905
101712351,54456
101711019,56666
101708174,83642
101710600,8626
101725390,80216
101721668,3993
101697131,5151
101702325,1183
101706378,54475
101697591,6389
101701675,6605
101703489,54752
101697034,5927
101710505,4185
101697272,5523
101714078,10979
101716542,8647
101716890,10170
101707771,922
101704771,5743
106007560,10644
101700680,9175
101718025,6480
101696563,30009
101699486,10129
101706016,8301
101723819,4905
101697659,2736
101723506,23332
101697380,65993
101722220,4854
101714740,1207
101711517,5522
101705761,8463
101705385,8726
101709548,54825
101708817,6620
101716856,7251
101723873,55421
101726683,489
101711828,771
101707987,11343
101703936,59277
101703804,617
101700629,9891
101720923,54878
101711944,9187
101719079,55205
101724126,8578
101723407,3998
101719524,51495
101711087,26034
101697032,23140
101707045,50508
101719336,2023
101719170,6557
101724173,56005
101718462,57719
101696785,51175
101724075,55160
101713820,7294
101711130,9671
101715997,3785
101709479,6865
101717737,64431
101716762,54962
101705738,6717
101722200,8672
101708985,79023
101710511,10371
101722984,51512
101705229,10512
101724053,55020
101709659,38
101721454,23151
101722292,9620
101715077,7479
101718907,27332
101708857,55972
101712569,29090
101722886,119
101711919,2249
101710345,9462
101698811,9605
101713017,4140
101722513,5250
101701030,64778
101696928,2355
101715359,27091
101714984,27092
101710441,285527
101717509,23505
101716557,6624
101717255,60
101714313,55034
101700438,5337
101711071,479
101712914,284403
101716409,1739
101703643,7879
101703087,55973
101712823,9733
101716822,5076
101703631,23016
101721676,22920
101722891,23609
101698140,4175
101718042,25996
101716766,10179
101703323,5939
101702266,11176
101708332,25930
101698546,4292
101717051,7374
101708672,2329
101707236,2329
101725550,27252
101702566,8786
101706680,113235
101718867,5362
101710859,10615
101701933,88455
101712220,7163
101710649,7163
101717399,32
101716536,9618
101708734,55824
101726498,55094
101701244,22978
101710370,4162
101711237,2239
101709437,55796
101698720,57662
101726267,5909
101700264,56949
101721865,9138
101702294,6813
101710666,5609
101706969,27231
101718894,8527
101722517,83992
101712102,51412
101724485,5915
101704972,7155
101720356,56889
101714147,4791
101714812,29089
101711489,4660
101714043,54431
101705327,2975
101704138,3566
101704161,23032
101712811,5063
101712448,827
101711611,1641
101701871,6626
101717381,9576
101705555,56915
101701896,1781
101700844,54518
101717141,4034
101717593,143684
101706114,51548
101696609,7299
101721630,88
101706752,832
101725569,7107
101722660,10003
101702228,79960
101696756,203427
101698111,7319
101700324,2260
101709090,8468
101700152,27127
101697715,2192
101724376,8516
101719757,8530
101702905,4133
101709303,9063
101708603,273
101723157,369
101704843,56922
101722237,2191
101709219,10529
101714598,55331
101702983,3093
101707473,3093
101720820,5289
101705775,55728
101722067,57103
101700219,8871
101718304,108
101726315,5527
101707083,54715
101703108,2782
101706800,3205
101724063,1906
101706801,8028
101720608,55063
101713524,117
101701734,26281
101702874,27334
101709255,9452
101716146,4898
101709540,7419
101725686,5108
101726218,57690
101719942,9139
101714166,1620
101711522,83737
101709447,27039
101708070,58476
101721571,51150
101701118,57644
101723941,80341
101716466,7161
101719608,54472
101711323,27098
101725799,1015
101719619,9984
101703828,51661
101701832,114880
101703725,6507
101719341,7520
101697275,56925
101725789,11262
101723982,8569
101713315,7145
101722409,57455
101713219,56681
101724071,8556
101711127,10411
101706581,29843
101722172,51207
101714532,23152
101709284,3991
101709374,2222
101713250,5050
101707726,4983
101716422,3835
101716241,10590
101716594,55604
101711743,5236
101718684,1653
101696596,1785
101701106,2037
101707565,26002
101707928,8417
101720639,11158
101718777,9817
101716269,1638
101714785,51006
101698155,131544
101725725,285220
101703639,6344
101711357,5991
101722646,23011
101723129,8671
101706423,6595
101710179,50700
101699483,27244
101722499,11043
101711485,139212
101699384,10847
101710010,9933
101712343,1361
101701279,1136
101725711,3781
101711678,4850
101716186,5663
101704613,1371
101702810,56650
101725326,3320
101707342,5933
101717179,22839
101705741,22997
101724914,10403
101708335,23431
101712872,54665
101710594,260425
101725205,174
101709839,1286
101707882,6932
101701537,28962
101707520,1005
101707642,50939
101721054,57092
101710627,55218
101717125,384
101716335,4208
101710515,5788
101726232,779
101724616,5317
101712064,79876
101713817,9262
101717800,4036
101715125,65094
101705133,11266
101700737,65985
101714192,9812
101701888,6561
101702457,93664
101704947,51668
101701316,23239
101715035,5205
101717608,3595
101704283,6604
101701259,55100
101718443,2533
101700434,55437
101721501,9689
101723243,5241
101719490,114899
101702791,4200
101725657,55322
101724118,905
101710170,57579
101726481,1310
101703151,23136
101714215,22837
101708098,1741
101722094,3776
101709579,56256
101704164,7188
101714422,29093
101715025,25929
101712431,4986
101703672,4779
101700437,54437
101701301,2932
101702445,3693
101698544,23085
101725005,7514
101725061,11342
101714096,80036
101720121,79728
101718965,23033
101721070,57226
101725476,594
101713625,7994
101726471,79670
101712848,9706
101716381,79977
101713489,3842
101716463,5351
101725587,5026
101725202,3682
101723210,22894
101722859,10464
101713672,81550
101718988,26747
101725183,23047
101718900,5019
101698006,10325
101725511,1833
101707343,1540
101724180,10998
101696361,25799
101707932,55659
101724529,55663
101703468,6193
101720316,2195
101701368,91746
101717020,25978
101720894,64744
101715585,10450
101719964,10269
101702631,56910
101718562,84273
101718905,5978
101698826,3034
101714823,54434
101696396,2950
101696833,334
101725382,57613
101702734,6579
101711310,8668
101700919,79570
101702800,1307
101709622,200081
101703081,338
101726578,8648
101704503,60509
101717711,22979
101722490,3797
101723412,10890
101718746,2646
101724137,3030
101702024,22924
101710382,790
101696450,63035
102288482,102157402
101702578,102157402
101698558,102157402
101724655,2219
101721275,55892
101718355,2122
101716847,9522
101721033,5550
101726416,81929
101722800,22911
101698444,57590
101717441,29957
101701961,4216
101725469,57549
101705543,5243
101702843,5243
101713196,5243
101699796,7760
101720124,231
101723673,8895
101725509,54700
101705176,2017
101697582,7481
101711400,4528
101705573,23259
101719366,22996
101718798,2060
101713340,4998
101716174,4258
101700309,10523
101715799,55054
101718551,55230
101720446,55624
101719853,8438
101715246,23139
101720228,3301
101721414,2683
101723765,51510
101724132,4799
101705612,363
101721788,27292
101721439,51194
101725016,2346
101711605,27102
101715160,51314
101714446,54749
101713644,29887
101707299,22929
101700195,10573
101724100,3049
101703054,80271
101698666,2196
101697142,55696
101698066,10959
101723382,56605
101703287,54469
101719685,3294
101706836,55787
101713218,5475
101713610,10075
101713165,9183
101720220,79796
101697833,4606
101726508,50507
101719939,8310
101718842,8898
101715557,23645
101707164,7205
101705724,43
101714614,2512
101707531,51593
101713575,581
101701893,51701
101709905,94005
101711463,9509
101702191,28983
101720020,56970
101704870,9489
101710432,5705
101703646,51720
101696977,4313
101696607,54947
101723580,2775
101721349,55239
