10047_GENEID,9606_GENEID
110556763,4034
110554037,143684
110548526,51548
110565894,7299
110562269,10714
110559978,88
110560496,832
110559763,7107
110552042,79960
110544282,7319
110563307,2260
110565783,8468
110565782,8468
110545048,27127
110545041,2192
110561393,8516
110564576,8530
110563137,4133
110564806,9063
110562153,273
110541705,369
110546355,56922
110548644,2191
110564995,10529
110540288,55331
110562053,3093
110546919,5289
110558396,55728
110548619,57103
110548621,7289
110547879,8871
110550962,108
110553236,5527
110553367,54715
110559917,2782
110546141,3205
110544244,1906
110545146,8028
110556750,55063
110555111,117
110564316,26281
110543695,9452
110563667,4898
110556618,7419
110558781,5108
110550438,57690
110554546,9139
110557560,1620
110550572,83737
110551105,27039
110550557,58476
110560236,51150
110550073,80341
110560575,7161
110560049,54472
110566447,27098
110558721,862
110540769,1015
110564214,9984
110555977,51661
110555980,114880
110565630,6507
110553456,7520
110562741,56925
110562619,8569
110566440,7145
110555591,57455
110555911,56681
110551870,8556
110546167,10411
110560091,29843
110548871,51207
110548869,51207
110563920,23152
110563910,3991
110563914,5050
110563996,173
110547947,3835
110551950,10590
110551949,55604
110540378,5236
110545474,1653
110552460,1785
110553651,2037
110556936,22999
110556249,22999
110558660,26002
110558649,8417
110566473,11158
110555771,9817
110561061,5794
110565610,1638
110565611,1638
110549237,51006
110563477,131544
110564314,6344
110565218,5991
110557283,55183
110557284,55183
110553080,23011
110560196,8671
110540748,6595
110557840,50700
110555700,27244
110565515,139212
110557844,50509
110547964,10847
110559413,9933
110547470,1361
110552001,1136
110540397,3781
110558571,4850
110558609,5663
110539785,1371
110539782,56650
110553231,5891
110553235,3320
110566281,5933
110556947,22839
110562519,22997
110558718,10403
110560916,23431
110546983,54665
110546986,260425
110563997,174
110547507,1286
110549622,6932
110552808,28962
110563326,57092
110546606,55218
110557053,384
110539611,4208
110560152,5788
110548425,779
110548427,5317
110554899,79876
110564382,9262
110564383,9262
110555709,8555
110547796,4036
110541500,65094
110554457,11266
110554561,65985
110566589,9812
110549550,6561
110564440,93664
110563588,51668
110551307,5205
110555652,3595
110555653,3595
110562864,6604
110563626,2533
110557652,58538
110557657,55437
110559598,9689
110552199,5241
110560437,114899
110550721,4200
110546716,55322
110551081,905
110555727,57579
110549266,23136
110540008,22837
110541062,1741
110553409,3776
110553497,56256
110566223,7188
110563361,29093
110563366,25929
110561570,4986
110551405,4779
110547243,54437
110555390,2932
110550407,3693
110550406,3693
110539822,7514
110554228,11342
110565237,80036
110550647,79728
110550064,23033
110547361,57226
110546461,594
110547331,7994
110554891,79670
110549788,9706
110560322,79977
110558299,3842
110558298,3842
110555751,5351
110559275,5026
110559259,3682
110556436,22894
110556437,10464
110566107,81550
110547478,26747
110558015,5019
110558014,5019
110563144,5019
110565734,1833
110548860,1540
110562939,10998
110562942,25799
110562941,55663
110561290,6193
110561291,6193
110562786,2195
110566132,91746
110541151,25978
110549958,64744
110549963,10450
110549968,10269
110560920,56910
110560332,84273
110560331,5978
110559834,3034
110553851,54434
110553848,54434
110560369,2950
110552584,334
110546906,57613
110564253,6579
110564560,6579
110552204,6579
110564562,6579
110541752,6579
110548515,8668
110548320,79570
110548395,1307
110548492,200081
110559066,338
110555190,8648
110547698,60509
110555181,22979
110557610,3797
110557611,3797
110547701,10890
110547709,2646
110547680,3030
110547712,22924
110547690,790
110556840,966
110554148,3732
110564971,63035
110539854,102157402
110539850,102157402
110566069,2219
110545689,55892
110545680,2122
110559026,9522
110555298,5550
110555299,57531
110562688,81929
110545525,22911
110552889,57590
110561783,29957
110554862,4216
110556697,57549
110564858,5243
110555238,5243
110545957,7760
110547518,231
110565191,8895
110556847,54700
110546844,2017
110562445,7481
110557355,4528
110540821,23259
110563308,23259
110563625,22996
110563638,2060
110563514,4998
110549425,4258
110558746,10523
110552949,55054
110563075,55624
110563069,55624
110563063,8438
110563065,8438
110563511,23139
110561670,2683
110547141,51510
110547111,4799
110547395,363
110563945,27292
110563942,51194
110562303,2346
110557411,27102
110553993,51314
110553988,54749
110546140,29887
110552360,22929
110548664,10573
110561272,3049
110556739,80271
110547213,2196
110546681,55696
110552690,10959
110552685,10959
110559764,56605
110563372,54469
110550260,3294
110539632,55787
110554209,7462
110565890,10075
110546481,9183
110562004,79796
110546868,4606
110546768,4606
110564766,50507
110564767,50507
110559473,8310
110554038,8898
110540626,23645
110540906,7205
110540909,43
110560637,2512
110560641,2512
110540907,51593
110560658,581
110560654,581
110550145,51701
110550152,94005
110559099,9509
110566133,28983
110551887,56970
110550286,9489
110547029,5705
110549763,51720
110545189,4313
110561157,4504
110545177,54947
110561150,2775
110561153,55239
110552400,6452
110552408,8602
110552407,118
110557629,51637
110557630,22795
110547167,64395
110549317,10992
110553833,57542
110556818,2778
110562067,10059
110553825,5744
110547323,116154
110563005,51290
110563006,51290
110556353,7022
110556350,6790
110556354,57091
110547308,28971
110546276,5990
110553583,339175
110550470,6820
110563948,29929
110556005,4849
110546417,5775
110563119,8886
110546269,8570
110548534,2767
110545404,55616
110550571,55741
110550571,111089941
110565536,28954
110550074,22974
110550099,81572
110556942,2036
110553095,6564
110552914,23348
110548881,55608
110540967,23483
110540966,23483
110564377,51161
110559520,57017
110550817,55287
110554984,64147
110552293,79822
110557099,54675
110560180,23368
110565397,8455
110565396,8455
110556950,54498
110540799,6614
110540619,55968
110540618,55968
110558617,83959
110558624,25943
110553281,57593
110553286,56265
110559626,57506
110558613,9762
110558005,2160
110553976,22803
110553977,55857
110545586,8655
110551850,54997
110548486,27131
110546402,6128
110558026,55423
110542327,55423
110541159,55423
110558025,55423
110558027,55423
110553187,55423
110546396,8550
110545350,5027
110551776,51575
110548493,10741
110545327,51433
110557211,9962
110546383,80024
110548496,55184
110545328,84678
110546369,64211
110551773,55617
110546395,4938
110546406,4938
110545582,10985
110545583,5829
110545594,23409
110546394,22895
110557830,55614
110557078,51605
110557068,1114
110546902,5037
110551965,6910
110546393,8315
110546377,10961
110551884,4842
110564540,2521
110564268,3476
110551203,57655
110551182,5349
110545941,29965
110550911,23415
110557452,23193
110549209,51291
110550569,332
110548591,3902
110548610,8079
110555944,78990
110555941,57062
110547778,7597
110556293,25977
110560459,393
110548523,170961
110562851,55760
110562854,55760
110553234,23186
110558229,55668
110556743,8425
110556744,645
110552459,6548
110566619,10558
110555929,10914
110555738,8812
110550182,57060
110554690,5996
110548015,83719
110545798,51650
110545792,4708
110552423,10726
110557392,10296
110555772,3383
110552647,29888
110540664,11213
110539420,6476
110544994,79594
110545962,7023
110539585,10081
110540215,51324
110540214,51324
110548111,26998
110548119,51726
110549398,7066
110549400,8646
110548655,9727
110548723,84572
110553156,2802
110549953,8761
110545005,84196
110559164,1947
110546017,55066
110546018,16
110546015,2734
110564270,24137
110559530,27327
110564723,64857
110564728,10683
110546266,57106
110558038,57605
110556873,55763
110556793,54439
110556797,5459
110564832,114882
110555868,113878
110565106,58484
110564141,54517
110565716,4897
110558987,3912
110565503,5172
110558989,1811
110558988,1738
110540517,23335
110561460,9352
110555889,3568
110550466,368
110547917,54918
110563279,3655
110563280,3655
110554360,11069
110554362,11069
110554364,51776
110554363,51776
110561923,2271
110561931,2271
110565969,2271
110552765,23231
110565556,7018
110561108,55573
110549997,51168
110549981,54890
110555338,350
110563436,22861
110564057,22861
